Representative Name,Product,State,Sale Amount,Quarter
Charlie West,homeopathic remedy,Florida,1085.18,Q1
Cody Duncan,snake,New York,2405.14,Q1
Nora Gray,401k,New York,6092.72,Q1
Lelia Graves,homeopathic remedy,Florida,744.11,Q1
Ian Miller,beanie baby,Texas,1141.00,Q1
Abbie Jenkins,beanie baby,Florida,9833.67,Q1
Roxie McCormick,homeopathic remedy,California,924.33,Q1
Mary Townsend,snake,California,5660.04,Q1
Luis Gilbert,401k,California,203.21,Q1
Emma Holmes,watermelon,California,4435.25,Q1
Ian Miller,401k,New York,2899.99,Q1
Warren Warren,watermelon,Florida,1537.95,Q1
Estelle Zimmerman,401k,Florida,6095.93,Q1
Stephen Baker,watermelon,New York,5736.61,Q1
Addie Sutton,401k,Massachusetts,639.05,Q1
Cordelia Washington,beanie baby,Texas,5362.22,Q1
Charlie West,beanie baby,New York,1355.73,Q1
Mark Parks,homeopathic remedy,Florida,1047.86,Q1
Nelle Alexander,homeopathic remedy,California,242.53,Q1
Roxie McCormick,beanie baby,California,7709.72,Q1
Myrtle Hodges,snake,California,1529.25,Q1
Ivan Moore,homeopathic remedy,Florida,738.98,Q1
Estelle Zimmerman,watermelon,Florida,4763.54,Q1
Johnny Wagner,snake,California,2253.53,Q1
Mark Parks,snake,California,1894.82,Q1
Marc Bell,beanie baby,California,624.34,Q1
Lottie Graham,snake,Florida,189.51,Q1
James Green,401k,California,9078.75,Q1
Alejandro Castro,homeopathic remedy,California,3383.16,Q1
Lola Wade,beanie baby,California,4671.84,Q1
Irene Webster,watermelon,California,3669.76,Q1
James Green,homeopathic remedy,Florida,8450.38,Q1
Richard Logan,watermelon,Massachusetts,613.46,Q1
Jason Park,snake,California,6014.03,Q1
Irene Webster,watermelon,New York,615.29,Q1
Johnny Wagner,401k,Texas,402.82,Q1
Nannie Clarke,homeopathic remedy,California,1968.56,Q1
Nora Brooks,401k,Texas,20.21,Q1
Billy Lucas,homeopathic remedy,Texas,3293.65,Q1
Annie Perkins,snake,New York,9327.29,Q1
Nettie Copeland,watermelon,Florida,6993.87,Q1
Shane Estrada,401k,Texas,42.54,Q1
Charlotte Bryan,homeopathic remedy,Massachusetts,9451.56,Q1
Mark Parks,watermelon,California,729.45,Q1
Lelia Bowen,beanie baby,New York,1149.60,Q1
Ida Hale,watermelon,California,349.17,Q1
Nannie Clarke,watermelon,Texas,561.51,Q1
Mark Parks,401k,Texas,9349.17,Q1
Helen Kelly,watermelon,Florida,144.68,Q1
Edgar Wilkins,snake,California,5849.77,Q1
Alice McGuire,401k,Florida,3287.07,Q1
Mark Parks,watermelon,Massachusetts,2009.58,Q1
Gilbert Horton,401k,New York,30.66,Q1
Ian Miller,homeopathic remedy,New York,8298.80,Q1
Addie Sutton,homeopathic remedy,Texas,6958.15,Q1
Nora Brooks,snake,Massachusetts,4893.00,Q1
Gertrude Harrington,beanie baby,Massachusetts,9479.67,Q1
Emma Holmes,homeopathic remedy,Florida,2551.80,Q1
Mary Townsend,watermelon,Texas,7323.89,Q1
Birdie Carter,watermelon,Florida,225.65,Q1
Laura Morrison,401k,California,30.36,Q1
Estelle Zimmerman,watermelon,Massachusetts,45.27,Q1
Ricky Burgess,snake,Florida,302.48,Q1
Viola Watson,homeopathic remedy,California,0.32,Q1
Mary Townsend,401k,New York,252.64,Q1
Annie Perkins,beanie baby,New York,512.42,Q1
Emily Gardner,beanie baby,California,4675.00,Q1
Charlie West,watermelon,Massachusetts,2912.88,Q1
Luis Gilbert,watermelon,Texas,493.20,Q1
Stephen Baker,watermelon,New York,340.44,Q1
Irene Webster,homeopathic remedy,New York,7347.08,Q1
May Webster,watermelon,Florida,3292.78,Q1
Iva Holmes,beanie baby,Texas,538.95,Q1
Bruce Berry,watermelon,Texas,5160.03,Q1
Jose Harmon,snake,California,281.87,Q1
Jeremiah Norton,homeopathic remedy,California,433.61,Q1
Helen Kelly,401k,Florida,6642.02,Q1
Marguerite Poole,snake,Florida,284.15,Q1
Angel Reese,snake,New York,3040.92,Q1
Stephen Baker,401k,New York,2286.64,Q1
Sally Tucker,watermelon,Florida,6641.96,Q1
Lula Thompson,watermelon,New York,238.39,Q1
Warren Warren,snake,Florida,8993.54,Q1
Stephen Baker,401k,California,903.00,Q1
Johnny Wagner,watermelon,Florida,5.85,Q1
Hulda Munoz,homeopathic remedy,Texas,6124.98,Q1
Myrtle Hodges,homeopathic remedy,Texas,138.30,Q1
Eleanor Patrick,beanie baby,Florida,1873.21,Q1
May Webster,homeopathic remedy,Massachusetts,983.03,Q1
Gilbert Horton,snake,Florida,1727.29,Q1
Hulda Munoz,snake,New York,1264.66,Q1
Ricky Burgess,beanie baby,Texas,6633.73,Q1
Helen Kelly,401k,Massachusetts,6618.24,Q1
Samuel Yates,watermelon,California,6307.45,Q1
Sarah Massey,snake,Texas,1188.89,Q1
Jeff Jennings,watermelon,California,313.63,Q1
Nannie Clarke,beanie baby,California,57.36,Q1
Hulda Munoz,homeopathic remedy,Massachusetts,856.60,Q1
Ricky Burgess,homeopathic remedy,Texas,8530.88,Q1
Jesus Hampton,beanie baby,Texas,4615.70,Q1
Ricky Burgess,beanie baby,California,7554.90,Q1
Richard Logan,beanie baby,Massachusetts,9010.62,Q1
Eva Carter,watermelon,New York,1249.72,Q1
Henrietta Wood,homeopathic remedy,California,9160.67,Q1
Tillie Bryant,watermelon,Florida,337.02,Q1
Winnie Norman,beanie baby,California,423.94,Q1
Mae Summers,watermelon,California,5103.42,Q1
Amelia Pope,beanie baby,Massachusetts,32.24,Q1
Ida Hale,snake,Florida,9155.85,Q1
Kenneth Hamilton,beanie baby,California,449.96,Q1
Sophia Stephens,401k,Massachusetts,1448.87,Q1
Manuel Boyd,snake,Texas,9997.80,Q1
Jeanette Robertson,401k,Florida,7272.91,Q1
Estella Dawson,snake,Massachusetts,3243.81,Q1
Iva Holmes,401k,Texas,2433.06,Q1
Alejandro Castro,beanie baby,Massachusetts,1450.29,Q1
Roxie McCormick,beanie baby,Florida,6344.89,Q1
Shawn Martin,beanie baby,Texas,2654.57,Q1
Emma Holmes,homeopathic remedy,Texas,4286.32,Q1
Marguerite Poole,homeopathic remedy,California,1287.36,Q1
Winnie Norman,snake,Texas,3764.15,Q1
Sarah Massey,snake,Florida,507.44,Q1
Ida Ellis,401k,Massachusetts,3673.99,Q1
Charlotte Bryan,homeopathic remedy,California,9306.52,Q1
Estelle Zimmerman,beanie baby,Florida,3770.63,Q1
Laura Morrison,beanie baby,Texas,5693.57,Q1
Ivan Moore,beanie baby,New York,5522.04,Q1
Chris Atkins,401k,Massachusetts,38.26,Q1
Hulda Munoz,401k,California,3241.89,Q1
Eleanor Ford,beanie baby,California,88.65,Q1
Troy Ballard,401k,Texas,80.77,Q1
Manuel Boyd,snake,Texas,4059.07,Q1
Kenneth Hamilton,watermelon,Florida,6681.39,Q1
Charlotte Bryan,homeopathic remedy,Texas,5634.61,Q1
Genevieve Thornton,beanie baby,New York,356.47,Q1
Lelia Graves,401k,Florida,768.40,Q1
Tom Massey,watermelon,New York,1395.43,Q1
Sophia Wilson,401k,Texas,2551.17,Q1
Lelia Bowen,homeopathic remedy,New York,1249.16,Q1
Lottie Graham,snake,Texas,3535.39,Q1
Ida Hale,beanie baby,Florida,423.25,Q1
Marc Bell,beanie baby,California,394.66,Q1
Troy Ballard,homeopathic remedy,Massachusetts,123.47,Q1
Helen Kelly,watermelon,California,3908.30,Q1
Lottie Graham,watermelon,Texas,1293.57,Q1
Maude Hoffman,beanie baby,New York,257.60,Q1
Shane Estrada,homeopathic remedy,Massachusetts,1936.30,Q1
Jeanette Robertson,watermelon,New York,4724.89,Q1
Antonio Walton,homeopathic remedy,California,855.58,Q1
Curtis Cannon,401k,Massachusetts,0.21,Q1
Jeanette Robertson,snake,Texas,4245.05,Q1
Manuel Boyd,401k,Texas,7364.82,Q1
Jeanette Robertson,401k,Texas,8964.71,Q1
Richard Luna,watermelon,Texas,3906.03,Q1
Isabelle Mills,snake,California,1978.32,Q1
Richard Luna,watermelon,New York,799.80,Q1
Charlie West,401k,California,833.36,Q1
Luis Gilbert,watermelon,Florida,1041.71,Q1
Nora Gray,beanie baby,Florida,8737.07,Q1
Gilbert Horton,401k,Texas,4394.78,Q1
Ricky Burgess,beanie baby,Texas,4912.80,Q1
Samuel Yates,401k,California,4363.51,Q1
Jason Park,watermelon,New York,4682.77,Q1
Henrietta Wood,401k,Texas,5519.16,Q1
Maude Hoffman,401k,Texas,441.89,Q1
Helen Kelly,watermelon,Florida,2374.12,Q1
Warren Warren,401k,New York,344.94,Q1
Gertrude Harrington,401k,Texas,8489.85,Q1
Eva Carter,beanie baby,Texas,8967.77,Q1
Samuel Yates,beanie baby,California,3775.03,Q1
Birdie Carter,beanie baby,Florida,964.56,Q1
Myrtle Hodges,snake,Massachusetts,470.10,Q1
Ian Miller,homeopathic remedy,Massachusetts,2753.45,Q1
Theresa Frazier,snake,Massachusetts,7463.68,Q1
Estella Dawson,401k,California,2224.66,Q1
Billy Lucas,homeopathic remedy,Texas,3233.31,Q1
Nora Gray,homeopathic remedy,Florida,6610.61,Q1
Hulda Munoz,watermelon,Texas,0.42,Q1
Angel Reese,snake,Florida,589.95,Q1
Marguerite Poole,homeopathic remedy,Massachusetts,1334.77,Q1
James Green,watermelon,New York,31.11,Q1
Henrietta Wood,snake,Texas,2395.59,Q1
Johnny Wagner,beanie baby,Florida,1537.22,Q1
Lola Wade,401k,California,994.91,Q1
Edgar Wilkins,homeopathic remedy,Florida,8178.72,Q1
Jeanette Robertson,snake,California,83.15,Q1
Shawn Martin,watermelon,Texas,3511.52,Q1
Shane Estrada,beanie baby,Texas,4294.92,Q1
Helen Kelly,401k,Florida,4912.93,Q1
Eva Carter,401k,Massachusetts,1761.79,Q1
Josephine Bowen,snake,Florida,6241.65,Q1
Richard Logan,beanie baby,New York,2536.33,Q1
Charlotte Bryan,watermelon,California,2486.74,Q1
Roxie McCormick,snake,Massachusetts,5296.63,Q1
Billy Lucas,watermelon,California,4375.58,Q1
Marc Bell,homeopathic remedy,Texas,4071.91,Q1
Marc Bell,homeopathic remedy,California,1421.11,Q1
Curtis Cannon,homeopathic remedy,Florida,59.10,Q1
Emily Gardner,401k,California,2637.11,Q1
Rodney Day,beanie baby,Florida,2822.12,Q1
Virgie Walton,401k,Texas,6118.66,Q1
Cordelia Washington,401k,Florida,2197.91,Q1
Alejandro Castro,beanie baby,California,315.38,Q1
Nora Brooks,homeopathic remedy,Massachusetts,437.23,Q1
Emily Gardner,homeopathic remedy,California,4806.43,Q1
Shawn Martin,snake,Texas,294.85,Q1
Charlotte Bryan,homeopathic remedy,Texas,3429.24,Q1
Josephine Bowen,homeopathic remedy,California,794.77,Q1
May Webster,snake,New York,5593.17,Q1
Birdie Simmons,watermelon,Massachusetts,4635.69,Q1
Jesus Hampton,homeopathic remedy,California,3871.95,Q1
Alejandro Castro,snake,Texas,1690.70,Q1
Lula Thompson,snake,California,8671.62,Q1
Birdie Simmons,snake,Florida,6943.24,Q1
Charlie West,snake,California,4754.28,Q1
Theresa Frazier,watermelon,California,27.81,Q1
Nelle Alexander,snake,Texas,784.86,Q1
Abbie Jenkins,beanie baby,California,81.67,Q1
Cordelia Washington,beanie baby,Massachusetts,9186.86,Q1
Isabella Santiago,401k,New York,117.57,Q1
Richard Luna,401k,Massachusetts,2355.37,Q1
Viola Watson,401k,Florida,5499.68,Q1
Jose Harmon,homeopathic remedy,New York,6823.68,Q1
Johnny Wagner,snake,Florida,7473.95,Q1
Sarah Massey,401k,Massachusetts,1.58,Q1
Birdie Simmons,homeopathic remedy,New York,5015.40,Q1
Tillie Bryant,homeopathic remedy,New York,125.35,Q1
Irene Webster,homeopathic remedy,California,133.16,Q1
Estella Dawson,watermelon,Florida,3.22,Q1
Jeff Jennings,watermelon,Texas,13.14,Q1
Billy Lucas,watermelon,Texas,5127.32,Q1
Tom Massey,snake,Florida,5757.15,Q1
James Green,homeopathic remedy,California,5577.46,Q1
Virgie Walton,homeopathic remedy,Florida,4833.42,Q1
Nelle Alexander,watermelon,Florida,223.92,Q1
Warren Warren,401k,California,5608.51,Q1
Gary Griffith,watermelon,California,4358.68,Q1
Birdie Carter,homeopathic remedy,Massachusetts,2310.89,Q1
Cody Duncan,beanie baby,Massachusetts,9905.11,Q1
Shawn Martin,beanie baby,California,2815.71,Q1
Rodney Day,snake,Texas,115.09,Q1
Georgie West,watermelon,Florida,9603.86,Q1
Cody Duncan,homeopathic remedy,Massachusetts,684.78,Q1
Jason Park,beanie baby,New York,92.65,Q1
Eva Carter,beanie baby,Texas,9194.04,Q1
Shawn Martin,beanie baby,Texas,4288.33,Q1
Ina Evans,homeopathic remedy,Texas,3848.28,Q1
Alejandro Castro,homeopathic remedy,New York,34.46,Q1
Alejandro Castro,beanie baby,Texas,7296.93,Q1
Georgie West,snake,California,13.22,Q1
Georgie West,401k,California,863.62,Q1
Stephen Baker,snake,Texas,185.47,Q1
Ida Ellis,watermelon,New York,2443.97,Q1
Gilbert Horton,snake,New York,4951.91,Q1
Edgar Wilkins,watermelon,Florida,2968.23,Q1
Sophia Wilson,homeopathic remedy,Massachusetts,3281.38,Q1
Alice McGuire,snake,New York,2738.43,Q1
Amelia Pope,homeopathic remedy,California,53.38,Q1
Charlotte Bryan,401k,California,6849.00,Q1
Douglas Edwards,homeopathic remedy,Texas,38.41,Q1
Ian Miller,401k,Texas,6268.56,Q1
Douglas Edwards,watermelon,California,302.54,Q1
Emily Gardner,watermelon,Massachusetts,0.60,Q1
Maude Hoffman,homeopathic remedy,Texas,2836.34,Q1
Lelia Graves,watermelon,California,4984.57,Q1
Lottie Graham,snake,California,4337.80,Q1
Emma Holmes,beanie baby,California,674.50,Q1
Douglas Edwards,snake,Texas,4461.75,Q1
Iva Holmes,watermelon,New York,5431.31,Q1
Charlie West,watermelon,California,109.80,Q1
Henrietta Wood,beanie baby,California,1133.05,Q1
Kenneth Hamilton,beanie baby,New York,8055.86,Q1
Jason Park,snake,Massachusetts,9218.06,Q1
Hulda Munoz,snake,California,9.21,Q1
Estella Dawson,401k,Massachusetts,5110.02,Q1
Addie Sutton,watermelon,Texas,443.82,Q1
Roxie McCormick,snake,California,538.54,Q1
Irene Webster,watermelon,Massachusetts,2572.63,Q1
Roxie McCormick,401k,Florida,2492.92,Q1
Virgie Walton,beanie baby,New York,797.41,Q1
Alejandro Castro,beanie baby,Florida,34.11,Q1
Nora Gray,snake,Florida,4323.09,Q1
Eleanor Patrick,beanie baby,Florida,310.58,Q1
Helen Kelly,beanie baby,Texas,622.82,Q1
Manuel Boyd,homeopathic remedy,Texas,336.45,Q1
Ricky Burgess,401k,Texas,8727.38,Q1
Jason Park,snake,Massachusetts,5972.65,Q1
Iva Holmes,watermelon,Florida,176.23,Q1
Ivan Moore,401k,Texas,4562.03,Q1
Jesus Hampton,beanie baby,California,3798.36,Q1
Maude Hoffman,homeopathic remedy,California,5957.80,Q1
Mark Parks,401k,Massachusetts,1740.07,Q1
Shane Estrada,beanie baby,New York,9626.68,Q1
Jeanette Robertson,beanie baby,New York,1553.95,Q1
Sophia Wilson,watermelon,Massachusetts,2634.54,Q1
Georgie West,homeopathic remedy,New York,3929.68,Q1
Alice McGuire,beanie baby,Florida,9692.71,Q1
Isabella Santiago,401k,California,490.25,Q1
Mark Parks,homeopathic remedy,Massachusetts,1066.49,Q1
Birdie Carter,401k,Texas,2750.90,Q1
Warren Warren,beanie baby,Massachusetts,799.51,Q1
Josephine Bowen,homeopathic remedy,Texas,166.85,Q1
Jeremiah Norton,401k,Texas,1675.24,Q1
Roxie McCormick,401k,New York,20.33,Q1
Winnie Norman,401k,New York,237.00,Q1
Richard Luna,beanie baby,Massachusetts,5867.47,Q1
Ivan Moore,401k,California,9507.18,Q1
Nelle Alexander,snake,Massachusetts,844.05,Q1
Jeremiah Norton,homeopathic remedy,California,5367.81,Q1
James Green,401k,Massachusetts,105.98,Q1
Alejandro Castro,watermelon,California,587.95,Q1
Warren Warren,beanie baby,California,2560.75,Q1
Jose Harmon,watermelon,Massachusetts,2342.75,Q1
Emily Gardner,watermelon,New York,7232.62,Q1
Billy Lucas,watermelon,Florida,2547.55,Q1
Irene Webster,homeopathic remedy,Texas,6762.15,Q1
Nannie Clarke,snake,New York,836.18,Q1
Warren Warren,401k,Texas,1639.85,Q1
Luis Gilbert,snake,California,5225.69,Q1
Abbie Jenkins,snake,Massachusetts,5992.49,Q1
Addie Sutton,snake,Florida,3378.57,Q1
Emily Gardner,snake,Massachusetts,1358.07,Q1
Emily Gardner,watermelon,California,1954.85,Q1
Gertrude Harrington,watermelon,New York,5627.37,Q1
Edgar Wilkins,snake,Florida,1106.42,Q1
Laura Morrison,watermelon,Texas,208.34,Q1
Richard Luna,snake,California,1753.28,Q1
Manuel Boyd,watermelon,New York,2445.47,Q1
Iva Holmes,beanie baby,California,4406.51,Q1
Lelia Graves,beanie baby,Massachusetts,7880.34,Q1
Lelia Bowen,beanie baby,Florida,6875.10,Q1
Ina Evans,homeopathic remedy,California,991.06,Q1
Laura Morrison,401k,Massachusetts,5242.99,Q1
Caroline Berry,watermelon,Florida,59.68,Q1
Jesus Hampton,beanie baby,Massachusetts,12.99,Q1
Warren Warren,homeopathic remedy,Texas,1276.09,Q1
Nora Brooks,snake,Florida,106.80,Q1
Henrietta Wood,homeopathic remedy,California,6012.34,Q1
Isabelle Mills,watermelon,Florida,346.26,Q1
Charlotte Bryan,snake,Massachusetts,3076.28,Q1
Lelia Bowen,homeopathic remedy,Massachusetts,5136.62,Q1
Rodney Day,watermelon,New York,37.43,Q1
Isabelle Mills,watermelon,Texas,35.07,Q1
Billy Lucas,snake,Texas,425.69,Q1
Ian Miller,401k,Texas,8898.76,Q1
Eva Carter,snake,Texas,7813.15,Q1
Annie Perkins,401k,Texas,9362.10,Q1
Gertrude Harrington,snake,New York,394.21,Q1
Alice McGuire,beanie baby,Massachusetts,4929.70,Q1
Theresa Frazier,401k,New York,8549.37,Q1
Sarah Massey,401k,Massachusetts,5545.38,Q1
Isabella Santiago,beanie baby,Florida,2485.60,Q1
Troy Ballard,snake,Massachusetts,3771.18,Q1
Roxie McCormick,watermelon,California,6555.32,Q1
Emma Holmes,homeopathic remedy,California,3926.37,Q1
Viola Watson,homeopathic remedy,Florida,5600.38,Q1
Nelle Alexander,watermelon,New York,2493.13,Q1
Lela Harvey,snake,New York,5820.36,Q1
Lela Harvey,401k,Florida,1304.21,Q1
Cody Duncan,beanie baby,California,7356.76,Q1
Tillie Bryant,homeopathic remedy,Massachusetts,839.50,Q1
Chris Atkins,homeopathic remedy,Texas,2485.96,Q1
Chris Atkins,beanie baby,Massachusetts,3828.44,Q1
Isabella Santiago,beanie baby,California,4930.83,Q1
Mamie Roy,watermelon,New York,648.88,Q1
Richard Luna,watermelon,Massachusetts,802.69,Q1
Chris Atkins,401k,New York,64.92,Q1
Eleanor Patrick,401k,New York,0.10,Q1
Rodney Day,snake,New York,2627.22,Q1
Theresa Frazier,watermelon,New York,1932.81,Q1
Addie Sutton,homeopathic remedy,Texas,6642.87,Q1
Virgie Walton,homeopathic remedy,New York,5834.57,Q1
Eva Carter,401k,Massachusetts,3425.43,Q1
Lela Harvey,watermelon,Massachusetts,2.26,Q1
Hulda Munoz,homeopathic remedy,New York,7600.77,Q1
Ian Miller,beanie baby,Texas,617.06,Q1
Addie Sutton,watermelon,California,451.08,Q1
Winnie Norman,watermelon,New York,105.16,Q1
Myrtle Hodges,401k,New York,5089.27,Q1
Marc Bell,401k,California,1354.20,Q1
Jeff Jennings,snake,California,2545.99,Q1
Angel Reese,snake,New York,7281.69,Q1
Richard Luna,homeopathic remedy,Texas,6880.43,Q1
May Webster,beanie baby,California,3527.99,Q1
Irene Webster,beanie baby,Texas,3822.58,Q1
Cordelia Washington,watermelon,New York,7032.61,Q1
Mark Parks,snake,California,66.18,Q1
Alejandro Castro,watermelon,Florida,2310.80,Q1
Josephine Bowen,beanie baby,Florida,4865.55,Q1
Sophia Wilson,homeopathic remedy,Florida,2381.69,Q1
Hulda Munoz,snake,Massachusetts,5610.60,Q1
Estelle Zimmerman,beanie baby,New York,26.45,Q1
Douglas Edwards,snake,New York,6761.30,Q1
Viola Watson,watermelon,Massachusetts,643.91,Q1
Henrietta Wood,snake,Massachusetts,5098.03,Q1
Eva Carter,homeopathic remedy,California,8098.81,Q1
Nora Brooks,401k,Massachusetts,0.86,Q1
Irene Webster,401k,New York,1544.34,Q1
Virgie Walton,homeopathic remedy,Texas,9071.64,Q1
Luis Gilbert,homeopathic remedy,Florida,406.61,Q1
Amelia Pope,homeopathic remedy,New York,2123.30,Q1
Mary Townsend,watermelon,California,229.14,Q1
Helen Kelly,homeopathic remedy,Texas,2588.45,Q1
Antonio Walton,beanie baby,New York,653.61,Q1
Gilbert Horton,homeopathic remedy,California,569.81,Q1
Warren Warren,watermelon,Texas,767.17,Q1
Estella Dawson,401k,Florida,6511.07,Q1
Eleanor Patrick,homeopathic remedy,New York,4833.15,Q1
Edgar Wilkins,watermelon,Massachusetts,2838.67,Q1
Luis Gilbert,watermelon,Massachusetts,2672.73,Q1
Viola Watson,homeopathic remedy,Massachusetts,8530.49,Q1
Ian Miller,watermelon,Massachusetts,1876.66,Q1
Sally Tucker,beanie baby,California,7616.13,Q1
Jason Park,watermelon,California,391.90,Q1
Helen Kelly,homeopathic remedy,New York,47.34,Q1
Cody Duncan,watermelon,Florida,6238.70,Q1
Isabelle Mills,beanie baby,New York,2406.14,Q1
Lottie Graham,beanie baby,Texas,5563.46,Q1
Johnny Wagner,snake,New York,96.05,Q1
Annie Perkins,401k,Massachusetts,3249.31,Q1
Tillie Bryant,snake,California,0.54,Q1
Nora Brooks,watermelon,Texas,4436.35,Q1
Gertrude Harrington,401k,New York,7444.10,Q1
Emily Gardner,beanie baby,New York,1195.20,Q1
Jason Park,beanie baby,Florida,5072.27,Q1
Samuel Yates,watermelon,Massachusetts,124.60,Q1
Henrietta Wood,snake,Massachusetts,836.72,Q1
Jeanette Robertson,beanie baby,New York,822.19,Q1
Edgar Wilkins,homeopathic remedy,New York,6860.21,Q1
Bruce Berry,homeopathic remedy,New York,2587.38,Q1
Winnie Norman,snake,Florida,105.05,Q1
Chris Atkins,beanie baby,California,8221.25,Q1
Sally Tucker,homeopathic remedy,Massachusetts,7029.26,Q1
Lula Thompson,snake,Texas,6930.97,Q1
Nora Gray,beanie baby,California,1586.67,Q1
Estelle Zimmerman,beanie baby,Massachusetts,995.08,Q1
Gertrude Harrington,snake,New York,6903.37,Q1
Nannie Clarke,snake,Florida,3058.91,Q1
Sophia Stephens,beanie baby,Texas,5323.88,Q1
Sophia Wilson,beanie baby,Florida,8497.79,Q1
Mary Townsend,401k,Florida,5237.83,Q1
Estella Dawson,beanie baby,Massachusetts,4708.54,Q1
Mamie Roy,watermelon,California,2564.27,Q1
Lelia Graves,watermelon,Massachusetts,960.45,Q1
Marc Bell,beanie baby,Massachusetts,3261.63,Q1
Samuel Yates,401k,Texas,1557.91,Q1
Marguerite Poole,watermelon,New York,2284.65,Q1
Luis Gilbert,401k,California,2287.56,Q1
Ian Miller,homeopathic remedy,Florida,986.47,Q1
Genevieve Thornton,watermelon,New York,2626.97,Q1
Samuel Yates,401k,Texas,29.77,Q1
Johnny Wagner,watermelon,Massachusetts,5589.56,Q1
Rodney Day,401k,Florida,246.32,Q1
Hulda Munoz,beanie baby,Florida,4233.30,Q1
Nora Brooks,beanie baby,Florida,2678.40,Q1
Eleanor Patrick,homeopathic remedy,Massachusetts,106.97,Q1
Sally Tucker,beanie baby,California,1875.84,Q1
Sophia Wilson,homeopathic remedy,New York,780.14,Q1
Shawn Martin,homeopathic remedy,Texas,3407.43,Q1
Ida Ellis,401k,Texas,8650.12,Q1
Gertrude Harrington,watermelon,Texas,7451.09,Q1
Mamie Roy,homeopathic remedy,Massachusetts,6998.99,Q1
Luis Gilbert,401k,Texas,23.88,Q1
Jeremiah Norton,beanie baby,Florida,193.15,Q1
Nora Brooks,watermelon,Florida,458.24,Q1
Antonio Walton,401k,California,4893.04,Q1
Theresa Frazier,homeopathic remedy,Texas,5957.65,Q1
Birdie Simmons,401k,Florida,1090.47,Q1
Winnie Norman,401k,New York,443.96,Q1
Nettie Copeland,401k,Massachusetts,1566.02,Q1
Jeremiah Norton,beanie baby,Massachusetts,7341.12,Q1
Samuel Yates,homeopathic remedy,Massachusetts,9219.74,Q1
Theresa Frazier,homeopathic remedy,Massachusetts,6859.65,Q1
Ida Hale,watermelon,California,710.60,Q1
Hulda Munoz,homeopathic remedy,California,148.69,Q1
Gertrude Harrington,homeopathic remedy,Florida,96.07,Q1
Samuel Yates,homeopathic remedy,Florida,4122.24,Q1
Lola Wade,beanie baby,Texas,1096.80,Q1
Kenneth Hamilton,snake,Florida,6536.12,Q1
Luis Gilbert,watermelon,California,3651.17,Q1
Eva Carter,snake,Florida,3619.46,Q1
Ina Evans,watermelon,Texas,570.82,Q1
Marc Bell,homeopathic remedy,Texas,4906.90,Q1
